SUNK_ID,SUNK_MONTH_NAME,SUNK_DAY_OF_MONTH,SUNK_YEAR,SUNK_MONTH_NUMBER,SUNK_MONTH_YEAR,SUNK_DAY_OF_WEEK_NUMBER,SUNK_DATE_OF_WEEK_NAME,SUNK_DATE,SUNK_NAME_OF_VESSEL,SUNK_TYPE_VESSEL,SUNK_STANDARD_TONNAGE,SUNK_LOCATION,AGENT_NATION,AGENT_TYPES,SUNK_TYPE,SUNK_VESSEL_TYPE,AGENT_GENERAL_TYPE,SUNK_LOCATION_LAT,SUNK_LOCATION_LONG,SUNK_DISTANCE_FROM_TOKYO,SUNK_FULL_LAT,SUNK_FULL_LONG,lat_side,long_side
699,October,26,1943,10,1943-10-01,2,Monday,1943-10-26,SHOZAN MARU,Cargo,"2,937","20-52N, 106-40E",United States,Army Mine,Sunk,Maritime,Mine,20.52,106.4,3649.937165,20-52N,106-40E,1,1
700,November,26,1943,11,1943-11-01,2,Monday,1943-11-26,OGURASAN MARU,Tanker,"5,069","12-48N, 109-34E",United States,Submarine,Sunk,Maritime,Submarine,12.48,109.34,3988.102224,12-48N,109-34E,1,1
701,November,26,1943,11,1943-11-01,2,Monday,1943-11-26,TAINAN MARU,Cargo,"5,407","13-02N, 109-28E",United States,Submarine,Sunk,Maritime,Submarine,13.02,109.28,3950.038958,13-02N,109-28E,1,1
702,November,26,1943,11,1943-11-01,2,Monday,1943-11-26,ONOE MARU,Cargo,"6,667","00-40N, 148-14E",United States,Submarine,Sunk,Maritime,Submarine,0.4,148.14,4020.270528,00-40N,148-14E,1,1
703,November,26,1943,11,1943-11-01,2,Monday,1943-11-26,NIKKAI MARU,Converted Gunboat,"2,562","4-00N, 147-50E",United States,Submarine,Sunk,Maritime,Submarine,4,147.5,3613.879571,4-00N,147-50E,1,1
704,November,26,1943,11,1943-11-01,2,Monday,1943-11-26,UNKNOWN MARU,Cargo,"4,000","33-36N, 128-57E",United States,Submarine,Sunk,Maritime,Submarine,33.36,128.57,1050.48137,33-36N,128-57E,1,1
705,November,26,1943,11,1943-11-01,2,Monday,1943-11-26,SHINI MARU,Cargo,"3,811","6-56N, 134-38E",United States,Submarine,Sunk,Maritime,Submarine,6.56,134.38,3284.13803,6-56N,134-38E,1,1
706,July,27,1943,7,1943-07-01,2,Monday,1943-07-27,HIRASHIMA,Special Minelayer,720,"32-32N, 127-41E",United States,Submarine,Sunk,Naval,Submarine,32.32,127.41,1191.362592,32-32N,127-41E,1,1
707,July,27,1943,7,1943-07-01,2,Monday,1943-07-27,I 24,Submarine,"2,180","2-50S, 149-01E",United States,Submarine,Sunk,Naval,Submarine,-2.5,149.01,4355.721038,2-50S,149-01E,-1,1
708,February,27,1943,2,1943-02-01,2,Monday,1943-02-27,KIRIKAWA MARU,Transport,"3,836","7-30S, 136-40E",United States,Army Aircraft Navy Land- Based Aircraft,Sunk,Maritime,Combination,-7.3,136.4,4792.658689,7-30S,136-40E,-1,1
709,February,27,1943,2,1943-02-01,2,Monday,1943-02-27,ASAKASAN MARU,Passenger-Cargo,"8,709","15-53N, 97-40E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,15.53,97.4,4746.479586,15-53N,97-40E,1,1
710,April,27,1943,4,1943-04-01,2,Monday,1943-04-27,YUZAN MARU,Passenger-Cargo,"6,380","33-08N, 143-03E",United States,Submarine,Sunk,Maritime,Submarine,33.08,143.03,422.0404378,33-08N,143-03E,1,1
711,May,27,1943,5,1943-05-01,2,Monday,1943-05-27,KOCHI MARU,Cargo,"2,910","8-41N, 134-02E",United States,Submarine,Sunk,Maritime,Submarine,8.41,134.02,3087.589451,8-41N,134-02E,1,1
712,July,27,1943,7,1943-07-01,2,Monday,1943-07-27,TEIKIN MARU,Cargo,"1,972","19-57N, 109-05E",United States,Navy Mine*,Sunk,Maritime,Mine,19.57,109.05,3487.973853,19-57N,109-05E,1,1
713,August,27,1943,8,1943-08-01,2,Monday,1943-08-27,MEIZAN MARU,Passenger-Cargo,"5,480","13-13N, 121-23E",United States,Submarine*,Sunk,Maritime,Submarine,13.13,121.23,3115.732151,13-13N,121-23E,1,1
714,August,27,1943,8,1943-08-01,2,Monday,1943-08-27,TAIFUKU MARU,Passenger-Cargo,"3,520","32-27N, 132-24E",United States,Submarine,Sunk,Maritime,Submarine,32.27,132.24,784.8326273,32-27N,132-24E,1,1
715,September,27,1943,9,1943-09-01,2,Monday,1943-09-27,TAISEI MARU,Cargo,"1,957","3-19S, 143-33E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,-3.19,143.33,4339.832809,3-19S,143-33E,-1,1
716,September,27,1943,9,1943-09-01,2,Monday,1943-09-27,HAKUSAN MARU,Cargo,"2,197","1-18N, 103-52E",Great Britain,Sabotage,Sunk,Maritime,Aircraft,1.18,103.52,5351.081836,1-18N,103-52E,1,1
717,September,27,1943,9,1943-09-01,2,Monday,1943-09-27,KIZAN MARU,Cargo,"5,077","1-18N, 103-52E",Great Britain,Sabotage,Sunk,Maritime,Aircraft,1.18,103.52,5351.081836,1-18N,103-52E,1,1
718,September,27,1943,9,1943-09-01,2,Monday,1943-09-27,KASHIMA MARU,Transport,"9,908","10-14N, 109-45E",United States,Submarine,Sunk,Maritime,Submarine,10.14,109.45,4169.149806,10-14N,109-45E,1,1
719,October,27,1943,10,1943-10-01,2,Monday,1943-10-27,FUJI MARU,Transport,"9,138","28-25N, 128-04E",United States,Submarine,Sunk,Maritime,Submarine,28.25,128.04,1373.760363,28-25N,128-04E,1,1
720,October,27,1943,10,1943-10-01,2,Monday,1943-10-27,NANMAN MARU,Cargo,"6,550","12-34N, 134-48E",United States,Submarine,Sunk,Maritime,Submarine,12.34,134.48,2648.595671,12-34N,134-48E,1,1
721,November,27,1943,11,1943-11-01,2,Monday,1943-11-27,BERYL,Cargo,671,South China Sea,Unknown,Unknown,Sunk,Maritime,Unknown,NULL,NULL,NULL,NULL,NULL,-1,-1
722,November,27,1943,11,1943-11-01,2,Monday,1943-11-27,BUENOS AIRES MARU,Cargo,"9,625","2-44S, 149-15E",United States,Unknown Aircraft,Sunk,Maritime,Aircraft,-2.44,149.15,4352.461695,2-44S,149-15E,-1,1
723,November,27,1943,11,1943-11-01,2,Monday,1943-11-27,HAKONE MARU,Passenger-Cargo,"10,420","25-20N, 120-00E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,25.2,120,2212.230156,25-20N,120-00E,1,1
724,November,27,1943,11,1943-11-01,2,Monday,1943-11-27,VAN VOLLENHOVEN,Cargo,691,"13-01N, 109-30E",United States,Submarine,Sunk,Maritime,Submarine,13.01,109.3,3949.292122,13-01N,109-30E,1,1
725,November,27,1943,11,1943-11-01,2,Monday,1943-11-27,SAN RAMON MARU,Tanker,"7,309","33-38N, 129-05E",United States,Submarine,Sunk,Maritime,Submarine,33.38,129.05,1007.313632,33-38N,129-05E,1,1
726,December,27,1943,12,1943-12-01,2,Monday,1943-12-27,KYUEI MARU,Tanker,"10,171","21-42N, 118-05E",United States,Submarine,Sunk,Maritime,Submarine,21.42,118.05,2632.260282,21-42N,118-05E,1,1
727,December,27,1943,12,1943-12-01,2,Monday,1943-12-27,KYOKO MARU,Tanker,"5,792","5-00S, 121-22E",United States,Submarine,Sunk,Maritime,Submarine,-5,121.22,4917.910784,5-00S,121-22E,-1,1
728,May,28,1943,5,1943-05-01,2,Monday,1943-05-28,RO 107,Submarine,525,"15-35S, 167-17E",United States,Surface Craft,Sunk,Naval,Surface Craft,-15.35,167.17,6370.18387,15-35S,167-17E,-1,1
729,July,28,1943,7,1943-07-01,2,Monday,1943-07-28,ARIAKE,Destroyer,"1,600","5-27S, 148-25E",United States,Army Aircraft,Sunk,Naval,Army Aircraft,-5.27,148.25,4641.418144,5-27S,148-25E,-1,1
730,July,28,1943,7,1943-07-01,2,Monday,1943-07-28,MIKATSUKI,Destroyer,"1,500","5-27S, 148-25E",United States,Army Aircraft,Sunk,Naval,Army Aircraft,-5.27,148.25,4641.418144,5-27S,148-25E,-1,1
731,February,28,1943,2,1943-02-01,2,Monday,1943-02-28,KASHII MARU,Cargo,"3,218","34-39N, 138-58E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,34.39,138.58,176.3708273,34-39N,138-58E,1,1
732,March,28,1943,3,1943-03-01,2,Monday,1943-03-28,FUNAKAWA MARU,Tanker,868,"41-22N, 141-22E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,41.22,141.22,629.142473,41-22N,141-22E,1,1
733,March,28,1943,3,1943-03-01,2,Monday,1943-03-28,SUWA MARU,Transport,"10,672","19-13N, 166-34E",United States,Submarine,Sunk,Maritime,Submarine,19.13,166.34,3193.196297,19-13N,166-34E,1,1
734,April,28,1943,4,1943-04-01,2,Monday,1943-04-28,KAMAKURA MARU,Transport,"17,526","10-18N, 121-44E",United States,Submarine,Sunk,Maritime,Submarine,10.18,121.44,3383.016726,10-18N,121-44E,1,1
735,May,28,1943,5,1943-05-01,2,Monday,1943-05-28,KAMIKAWA MARU,Converted Seaplane Tender,"6,853","1-36S, 150-24E",United States,Submarine,Sunk,Maritime,Submarine,-1.36,150.24,4262.790733,1-36S,150-24E,-1,1
736,May,28,1943,5,1943-05-01,2,Monday,1943-05-28,SEIKI MARU,Cargo,"1,036","50-38N, 155-15E",United States,Submarine,Sunk,Maritime,Submarine,50.38,155.15,2052.115838,50-38N,155-15E,1,1
737,May,28,1943,5,1943-05-01,2,Monday,1943-05-28,AKATSUKI MARU,Tanker,"10,216","27-32N, 126-08E",United States,Submarine,Sunk,Maritime,Submarine,27.32,126.08,1588.263924,27-32N,126-08E,1,1
738,June,28,1943,6,1943-06-01,2,Monday,1943-06-28,SHOTOKU MARU,Converted Gunboat,"1,964","14-10N, 145-03E",United States,Submarine,Sunk,Maritime,Submarine,14.1,145.03,2459.210716,14-10N,145-03E,1,1
739,July,28,1943,7,1943-07-01,2,Monday,1943-07-28,TAMISHIMA MARU,Cargo,"1,931","13-52N, 97-50E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,13.52,97.5,4872.914607,13-52N,97-50E,1,1
740,September,28,1943,9,1943-09-01,2,Monday,1943-09-28,AKASHI MARU,Cargo,"3,227","6-11S, 126-00E",United States,Submarine,Sunk,Maritime,Submarine,-6.11,126,4863.214152,6-11S,126-00E,-1,1
741,September,28,1943,9,1943-09-01,2,Monday,1943-09-28,TAIAN MARU,Passenger-Cargo,"3,158","15-22N, 145-38E",United States,Submarine,Sunk,Maritime,Submarine,15.22,145.38,2345.493655,15-22N,145-38E,1,1
742,November,28,1943,11,1943-11-01,2,Monday,1943-11-28,SYDNEY MARU,Passenger-Cargo,"5,425","12-46N, 109-42E",United States,Submarine,Sunk,Maritime,Submarine,12.46,109.42,3983.610959,12-46N,109-42E,1,1
743,November,28,1943,11,1943-11-01,2,Monday,1943-11-28,TONAN MARU,Tanker,"9,866","12-46N, 109-42E",United States,Submarine,Sunk,Maritime,Submarine,12.46,109.42,3983.610959,12-46N,109-42E,1,1
744,November,28,1943,11,1943-11-01,2,Monday,1943-11-28,HOKKO MARU,Cargo,"5,347","1-40N, 141-45E",United States,Submarine,Sunk,Maritime,Submarine,1.4,141.45,3817.200233,1-40N,141-45E,1,1
745,November,28,1943,11,1943-11-01,2,Monday,1943-11-28,YURI MARU,Cargo,"6,787","1-40N, 141-45E",United States,Submarine,Sunk,Maritime,Submarine,1.4,141.45,3817.200233,1-40N,141-45E,1,1
746,December,28,1943,12,1943-12-01,2,Monday,1943-12-28,HEIZAN MARU,Passenger-Cargo,"1,061","30-31N, 117-02E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,30.31,117.02,2191.442782,30-31N,117-02E,1,1
747,December,28,1943,12,1943-12-01,2,Monday,1943-12-28,UNYO MARU,Passenger-Cargo,"1,037","30-31N, 117-02E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,30.31,117.02,2191.442782,30-31N,117-02E,1,1
748,March,29,1943,3,1943-03-01,2,Monday,1943-03-29,TOHO MARU,Tanker,"9,997","00-00N, 118-18E",United States,Submarine,Sunk,Maritime,Submarine,0,118.18,4550.144357,00-00N,118-18E,1,1
749,March,29,1943,3,1943-03-01,2,Monday,1943-03-29,YAMABATO MARU,Cargo,"2,556","30-26N, 129-41E",United States,Submarine,Sunk,Maritime,Submarine,30.26,129.41,1132.182984,30-26N,129-41E,1,1
750,May,29,1943,5,1943-05-01,2,Monday,1943-05-29,EISHO MARU,Cargo,"2,486","17-35N, 110-45E",United States,Submarine,Sunk,Maritime,Submarine,17.35,110.45,3529.530975,17-35N,110-45E,1,1
751,June,29,1943,6,1943-06-01,2,Monday,1943-06-29,MIKAGE MARU NO 8,Cargo,"3,371","45-04N, 142-03E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,45.04,142.03,1058.27318,45-04N,142-03E,1,1
752,August,29,1943,8,1943-08-01,2,Monday,1943-08-29,CHOJUN MARU,Cargo,"2,246","34-28N, 128-55E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,34.28,128.55,1026.33451,34-28N,128-55E,1,1
753,September,29,1943,9,1943-09-01,2,Monday,1943-09-29,MASAKI MARU NO 2,Cargo,"1,238","40-00N, 130-00E",United States,Submarine*,Sunk,Maritime,Submarine,40,130,975.7180669,40-00N,130-00E,1,1
754,October,29,1943,10,1943-10-01,2,Monday,1943-10-29,WUHU MARU,Cargo,"3,222","22-30N, 115-25E",United States,Submarine,Sunk,Maritime,Submarine,22.3,115.25,2792.273165,22-30N,115-25E,1,1
755,November,29,1943,11,1943-11-01,2,Monday,1943-11-29,SUEZ MARU,Cargo,"4,646","6-22S, 116-35E",United States,Submarine,Sunk,Maritime,Submarine,-6.22,116.35,5259.815376,6-22S,116-35E,-1,1
756,November,29,1943,11,1943-11-01,2,Monday,1943-11-29,KENRYU MARU,Cargo,"4,575","33-19N, 139-34E",United States,Submarine,Sunk,Maritime,Submarine,33.19,139.34,279.8331876,33-19N,139-34E,1,1
757,November,29,1943,11,1943-11-01,2,Monday,1943-11-29,MANJU MARU,Cargo,"5,877","18-23N, 140-18E",United States,Submarine,Sunk,Maritime,Submarine,18.23,140.18,1942.060699,18-23N,140-18E,1,1
758,November,29,1943,11,1943-11-01,2,Monday,1943-11-29,YAMAFUKU MARU,Passenger-Cargo,"4,928","18-37N, 139-45E",United States,Submarine,Sunk,Maritime,Submarine,18.37,139.45,1926.039209,18-37N,139-45E,1,1
759,November,29,1943,11,1943-11-01,2,Monday,1943-11-29,SHIGANOURA MARU,Cargo,"3,512","18-38N, 139-35E",United States,Submarine,Sunk,Maritime,Submarine,18.38,139.35,1925.073107,18-38N,139-35E,1,1
760,December,29,1943,12,1943-12-01,2,Monday,1943-12-29,BICHU MARU,Cargo,"4,667",Off New Guinea,Unknown,Unknown,Sunk,Maritime,Unknown,NULL,NULL,NULL,NULL,NULL,-1,-1
761,December,29,1943,12,1943-12-01,2,Monday,1943-12-29,DAITEI MARU,Passenger-Cargo,"2,421","30-31N, 117-02E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,30.31,117.02,2191.442782,30-31N,117-02E,1,1
762,December,29,1943,12,1943-12-01,2,Monday,1943-12-29,KAKUZAN MARU,Cargo,"2,938","30-31N, 117-02E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,30.31,117.02,2191.442782,30-31N,117-02E,1,1
763,December,29,1943,12,1943-12-01,2,Monday,1943-12-29,TENPOSAN MARU,Cargo,"1,970","8-00N, 133-51E",United States,Submarine,Sunk,Maritime,Submarine,8,133.51,3142.465168,8-00N,133-51E,1,1
764,December,29,1943,12,1943-12-01,2,Monday,1943-12-29,SHICHISEI MARU,Cargo,"1,911","8-03N, 134-04E",United States,Submarine,Sunk,Maritime,Submarine,8.03,134.04,3128.845798,8-03N,134-04E,1,1
765,December,29,1943,12,1943-12-01,2,Monday,1943-12-29,RYUTO MARU,Cargo,"3,311","8-00N, 133-51E",United States,Submarine,Sunk,Maritime,Submarine,8,133.51,3142.465168,8-00N,133-51E,1,1
766,September,30,1943,9,1943-09-01,2,Monday,1943-09-30,PETEREL,River Gunboat,310,"21-12N, 110-24E",United States,Army Aircraft,Sunk,Naval,Army Aircraft,21.12,110.24,3285.570252,21-12N,110-24E,1,1
767,March,30,1943,3,1943-03-01,2,Monday,1943-03-30,KUROHIME MARU,Cargo,"4,697","00-22S, 147-46E",United States,Submarine,Sunk,Maritime,Submarine,-0.22,147.46,4073.309185,00-22S,147-46E,-1,1
768,May,30,1943,5,1943-05-01,2,Monday,1943-05-30,TAKAMISAN MARU,Cargo,"1,992","30-07N, 124-32E",United States,Submarine,Sunk,Maritime,Submarine,30.07,124.32,1563.070238,30-07N,124-32E,1,1
769,May,30,1943,5,1943-05-01,2,Monday,1943-05-30,SHOKO MARU,Cargo,"5,335","30-07N, 124-32E",United States,Submarine,Sunk,Maritime,Submarine,30.07,124.32,1563.070238,30-07N,124-32E,1,1
770,July,30,1943,7,1943-07-01,2,Monday,1943-07-30,RYUZAN MARU,Cargo,"4,720","6-31S, 111-26E",United States,Submarine,Sunk,Maritime,Submarine,-6.31,111.26,5534.745489,6-31S,111-26E,-1,1
771,August,30,1943,8,1943-08-01,2,Monday,1943-08-30,TAIBUN MARU,Passenger-Cargo,"6,581","41-53N, 141-10E",United States,Submarine,Sunk,Maritime,Submarine,41.53,141.1,660.8047571,41-53N,141-10E,1,1
772,September,30,1943,9,1943-09-01,2,Monday,1943-09-30,MAEBASHI MARU,Passenger-Cargo,"7,005","6-01N, 139-08E",United States,Submarine,Sunk,Maritime,Submarine,6.01,139.08,3300.851577,6-01N,139-08E,1,1
773,October,30,1943,10,1943-10-01,2,Monday,1943-10-30,SHINYO MARU NO 2,Cargo,"1,085","41-52N, 140-07E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,41.52,140.07,649.1041741,41-52N,140-07E,1,1
774,October,30,1943,10,1943-10-01,2,Monday,1943-10-30,SHANGHAI MARU,Transport,"5,258","32-00N, 125-00E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,32,125,1415.713075,32-00N,125-00E,1,1
775,November,30,1943,11,1943-11-01,2,Monday,1943-11-30,COLUMBIA MARU,Passenger-Cargo,"5,618","1-56N, 147-23E",United States,Submarine,Sunk,Maritime,Submarine,1.56,147.23,3874.071111,1-56N,147-23E,1,1
776,November,30,1943,11,1943-11-01,2,Monday,1943-11-30,SHOKO MARU,Cargo,"1,933","14-31N, 140-18E",United States,Submarine,Sunk,Maritime,Submarine,14.31,140.18,2377.848428,14-31N,140-18E,1,1
777,December,30,1943,12,1943-12-01,2,Monday,1943-12-30,ICHIYU MARU,Tanker,"5,061","2-45S, 109-10E",United States,Submarine,Sunk,Maritime,Submarine,-2.45,109.1,5299.136291,2-45S,109-10E,-1,1
778,March,31,1943,3,1943-03-01,2,Monday,1943-03-31,NANSHIN MARU,Cargo,"4,911","34-13N, 133-06E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,34.13,133.06,628.8034249,34-13N,133-06E,1,1
779,August,31,1943,8,1943-08-01,2,Monday,1943-08-31,SHOTO MARU,Passenger-Cargo,"5,254","28-27N, 123-03E",United States,Submarine,Sunk,Maritime,Submarine,28.27,123.03,1771.295639,28-27N,123-03E,1,1
780,August,31,1943,8,1943-08-01,2,Monday,1943-08-31,KOKKO MARU,Cargo,"5,486","28-27N, 123-03E",United States,Submarine,Sunk,Maritime,Submarine,28.27,123.03,1771.295639,28-27N,123-03E,1,1
781,October,31,1943,10,1943-10-01,2,Monday,1943-10-31,KORYO MARU,Tanker,589,"1-25N, 120-46E",United States,Submarine,Sunk,Maritime,Submarine,1.25,120.46,4313.596626,1-25N,120-46E,1,1
782,December,31,1943,12,1943-12-01,2,Monday,1943-12-31,SHOHO MARU,Cargo,"1,936","5-18N, 160-16E",United States,Submarine,Sunk,Maritime,Submarine,5.18,160.16,3987.293409,5-18N,160-16E,1,1
783,February,1,1943,2,1943-02-01,2,Monday,1943-02-01,MAKIGUMO,Destroyer,"1,900","9-10S, 159-45E",United States,Navy line,Sunk,Naval,Mine,-9.1,159.45,5394.210978,9-10S,159-45E,-1,1
784,July,1,1943,7,1943-07-01,2,Monday,1943-07-01,RO 101,Submarine,525,"8-39S, 157-35E",United States,Surface Craft,Sunk,Naval,Surface Craft,-8.39,157.35,5239.168179,8-39S,157-35E,-1,1
785,October,1,1943,10,1943-10-01,2,Monday,1943-10-01,I 20,Submarine,"2,180","7-40S, 157-10E",United States,Surface Craft,Sunk,Naval,Surface Craft,-7.4,157.1,5126.24233,7-40S,157-10E,-1,1
786,February,1,1943,2,1943-02-01,2,Monday,1943-02-01,FUSHIMI MARU,Passenger-Cargo,"10,935","34-16N, 138-17E",United States,Submarine,Sunk,Maritime,Submarine,34.16,138.17,219.4171937,34-16N,138-17E,1,1
787,May,1,1943,5,1943-05-01,2,Monday,1943-05-01,KEISHIN MARU,Converted Gunboat,"1,434","37-04N, 141-06E",United States,Submarine,Sunk,Maritime,Submarine,37.04,141.06,193.8552024,37-04N,141-06E,1,1
788,June,1,1943,6,1943-06-01,2,Monday,1943-06-01,NOBORIKAWA MARU,Cargo,"2,182","35-02N, 140-14E",United States,Submarine,Sunk,Maritime,Submarine,35.02,140.14,84.94542325,35-02N,140-14E,1,1
789,July,1,1943,7,1943-07-01,2,Monday,1943-07-01,YONEYAMA MARU,Passenger-Cargo,"5,274","00-20N, 119-32E",United States,Submarine,Sunk,Maritime,Submarine,0.2,119.32,4473.677168,00-20N,119-32E,1,1
790,August,1,1943,8,1943-08-01,2,Monday,1943-08-01,MOGAMIGAWA MARU,Aircraft Ferry,"7,497","11-16N, 153-34E",United States,Submarine,Sunk,Maritime,Submarine,11.16,153.34,3054.722635,11-16N,153-34E,1,1
791,September,1,1943,9,1943-09-01,2,Monday,1943-09-01,FUSEI MARU,Passenger-Cargo,"2,256","31-28N, 127-24E",United States,Submarine,Sunk,Maritime,Submarine,31.28,127.24,1253.182049,31-28N,127-24E,1,1
792,October,1,1943,10,1943-10-01,2,Monday,1943-10-01,TONEI MARU,Passenger-Cargo,"4,930","4-01N, 143-47E",United States,Submarine,Sunk,Maritime,Submarine,4.01,143.47,3543.976354,4-01N,143-47E,1,1
793,October,1,1943,10,1943-10-01,2,Monday,1943-10-01,KINKASAN MARU,Cargo,"4,980","4-01N, 143-47E",United States,Submarine,Sunk,Maritime,Submarine,4.01,143.47,3543.976354,4-01N,143-47E,1,1
794,December,1,1943,12,1943-12-01,2,Monday,1943-12-01,TEIREN MARU,Passenger-Cargo,"3,044","22-13N, 114-05E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,22.13,114.05,2901.987986,22-13N,114-05E,1,1
795,December,1,1943,12,1943-12-01,2,Monday,1943-12-01,NICHIRYO MARU,Passenger-Cargo,"2,721","1-31N, 120-51E",United States,Submarine,Sunk,Maritime,Submarine,1.31,120.51,4305.190833,1-31N,120-51E,1,1
796,December,1,1943,12,1943-12-01,2,Monday,1943-12-01,KONEI MARU,Cargo,"2,345","1-02N, 146-42E",United States,Submarine,Sunk,Maritime,Submarine,1.02,146.42,3917.355344,1-02N,146-42E,1,1
797,January,2,1943,1,1943-01-01,2,Monday,1943-01-02,I 18,Submarine,"2,180","8-49S, 157-09E",United States,Submarine,Sunk,Naval,Submarine,-8.49,157.09,5240.102778,8-49S,157-09E,-1,1
798,January,5,1943,1,1943-01-01,2,Monday,1943-01-05,KOTOHIRA MARU,Cargo,"6,101","53-00N, 173-10E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,53,173.1,3233.599169,53-00N,173-10E,1,1
799,January,5,1943,1,1943-01-01,2,Monday,1943-01-05,KEIFUKU MARU,Cargo,"5,833","4-21S, 152-17E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,-4.21,152.17,4623.515621,4-21S,152-17E,-1,1
800,January,5,1943,1,1943-01-01,2,Monday,1943-01-05,MONTREAL MARU,Cargo,"6,577","52-40N, 178-15E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,52.4,178.15,3531.568,52-40N,178-15E,1,1
801,January,7,1943,1,1943-01-01,2,Monday,1943-01-07,NICHIRYU MARU,Passenger-Cargo,"5,447","6-30S, 149-00E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,-6.3,149,4769.464684,6-30S,149-00E,-1,1
802,January,8,1943,1,1943-01-01,2,Monday,1943-01-08,MYOKO MARU,Cargo,"4,103","6-49S, 147-04E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,-6.49,147.04,4752.774683,6-49S,147-04E,-1,1
803,January,9,1943,1,1943-01-01,2,Monday,1943-01-09,YOSHINOGAWA MARU,Cargo,"1,430","6-13S, 156-00E",United States,Submarine,Sunk,Maritime,Submarine,-6.13,156,4952.76433,6-13S,156-00E,-1,1
804,January,10,1943,1,1943-01-01,2,Monday,1943-01-10,OKIKAZE,Destroyer,"1,300","35-02N, 140-12E",United States,Submarine,Sunk,Naval,Submarine,35.02,140.12,84.08911782,35-02N,140-12E,1,1
805,January,12,1943,1,1943-01-01,2,Monday,1943-01-12,PATROL BOAT NO 1,Old Destroyer,750,"2-51S, 149-43E",United States,Submarine,Sunk,Naval,Submarine,-2.51,149.43,4366.729609,2-51S,149-43E,-1,1
806,January,13,1943,1,1943-01-01,2,Monday,1943-01-13,IWASHIRO MARU,Cargo,"3,550","9-54N, 167-07E",United States,Submarine,Sunk,Maritime,Submarine,9.54,167.07,4014.91817,9-54N,167-07E,1,1
807,January,14,1943,1,1943-01-01,2,Monday,1943-01-14,SHIRAHA MARU,Cargo,"5,693","9-12N, 130-38E",United States,Submarine,Sunk,Maritime,Submarine,9.12,130.38,3101.523491,9-12N,130-38E,1,1
808,January,15,1943,1,1943-01-01,2,Monday,1943-01-15,NICHIMEI MARU,Cargo,"4,704","13-30N, 98-30E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,13.3,98.3,4820.137658,13-30N,98-30E,1,1
809,January,16,1943,1,1943-01-01,2,Monday,1943-01-16,CHIFUKU MARU,Passenger-Cargo,"5,857","4-00S, 151-55E",United States,Submarine,Sunk,Maritime,Submarine,-4,151.55,4583.157452,4-00S,151-55E,-1,1
810,January,16,1943,1,1943-01-01,2,Monday,1943-01-16,KINPOSAN MARU,Cargo,"3,261","2-47S, 149-10E",United States,Submarine,Sunk,Maritime,Submarine,-2.47,149.1,4354.551211,2-47S,149-10E,-1,1
811,January,17,1943,1,1943-01-01,2,Monday,1943-01-17,UNKNOWN MARU,Cargo,"4,000","34-31N, 137-48E",United States,Submarine,Sunk,Maritime,Submarine,34.31,137.48,253.1034136,34-31N,137-48E,1,1
812,January,17,1943,1,1943-01-01,2,Monday,1943-01-17,HEIYO MARU,Passenger-Cargo,"9,815","10-13N, 151-25E",United States,Submarine,Sunk,Maritime,Submarine,10.13,151.25,3072.930864,10-13N,151-25E,1,1
813,January,18,1943,1,1943-01-01,2,Monday,1943-01-18,SENSAN MARU,Cargo,"2,775","3-53S, 149-20E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,-3.53,149.2,4472.135011,3-53S,149-20E,-1,1
814,January,18,1943,1,1943-01-01,2,Monday,1943-01-18,TOKACHI MARU,Cargo,"1,932","6-50S, 112-12E",Japan,Mine,Sunk,Maritime,Mine,-6.5,112.12,5505.486861,6-50S,112-12E,-1,1
815,January,18,1943,1,1943-01-01,2,Monday,1943-01-18,TOEI MARU,Tanker,"10,023","6-21N, 150-23E",United States,Submarine,Sunk,Maritime,Submarine,6.21,150.23,3450.291798,6-21N,150-23E,1,1
816,January,19,1943,1,1943-01-01,2,Monday,1943-01-19,MYOHO MARU,Cargo,"4,122","5-30S, 156-00E",United States,Submarine,Sunk,Maritime,Submarine,-5.3,156,4865.561677,5-30S,156-00E,-1,1
